text,label,notes
"I’ve posted this giant plant before but each year when it comes in from its outdoor summer vacation, I always remember what a cute tiny baby it was! Husband for scale 🤣 Baby pic from the internet

This thing also blooms and it drops sticky sap everywhere. I love it though. It’s a real funky character!",Before/After - Progress Pics,Could be Humor due to the picture and the man's reaction
"Love my euphorbia X japonica. One of my easiest houseplant, also the weirdest.

It is growing in pon. Never had pest issue ; it’s protected by spiders so it’s normal i guess.",Before/After - Progress Pics,
"Collection update! So it’s about to be a year from starting this hobby, I have learned a lot! And I believe we are set for good success!!!

Quite happy with the very few casualties I had, I tought I was not possible to have plants in my room where I have a south facing window on floor 12th with very low humidity ( 20-30% ) an A/C almost 24/7 cuz of the heat, and crazy fluctuations in temperature 18°C–37°C = 64.4°F–98.6°F 🌡️

As a new plant person I would recommend to search on this topics (not in any importance order just random topics that helped my journey) :

- Moss Poles
- Semihydro (Lecca-Moss Method)
- Prop Box
- Hygometer
- Airflow
- Tap water vs Filtered water
- Fertilizer
- PEST PREVENTION
- Humidifier Cleaning
- Anturiums, roomhumidity and leaf expansion
-Tissue Culture
- IKEA Cabinets
-Growth Lights
-Light requirements per specimen
-Light Availability or usage vs Glass
-Corm Sprouting for alocasias
-Silica supplementation for white variegations",Before/After - Progress Pics,
"Boston fern over 4 years. pic 1 when i first got her (4 years ago)

pic 2 a few months in

pic 3 1 year ago

pic 4 today",Before/After - Progress Pics,
"My Home Gym. So this is sort of a long running project that I’ve posted a few pictures of in some comments trying to help folks. This is currently about 8 months of growth. I’ve given everything almost optimal conditions. Everything is pot grown, I built hanging multi layer coir panels for them to aerial root into to climb. Been a lot of trial and error but we’re finally in a good place!",Before/After - Progress Pics,
Wish me luck! I did it… and I’m nervous. I really hope this grows some branches. Last photo is before the CHOP.,Before/After - Progress Pics,
"15” leaf on my polly. didn’t think it would get this big indoors tbh. tape measure for scale.wild thing is this plant had a nasty pest situation a few months back and almost died. bounced back, threw out like 6 inflos back to back, and then dropped this monster.",Before/After - Progress Pics,
New leaf progress.,Before/After - Progress Pics,
"2 Months of Monstera Progress. I picked this up the first week of July and now a little over 2 months later, it’s thriving!",Before/After - Progress Pics,
New Leaf 💚. My beautiful anthurium clarinervium sprouted a new leaf 💚,Before/After - Progress Pics,
Progress. My discount stromanthe triostar. Bought this half dead last fall. Summer on the front porch did the trick.,Before/After - Progress Pics,
How it started vs how it’s going. Maybe it’s time to stop? I’m running out of space even with grow lights 😪,Before/After - Progress Pics,
My husband built me a hanging light system so I could dedicate a whole wall to my moss poles 🥰,Before/After - Progress Pics,
